Students (? Values),Year: As at 1 July,Student: Year level,Student: Year level group,School: ID,Student: Ethnic Group,Student_age,School: Name,School: Sector,School: Type,School: Authority,School: Gender,School: Affiliation Type,School: Affiliation,School: Māori Medium Peak Body Affiliation,Region: Education Region,Region: Regional Council,Region: Territorial Authority,Region: MOE Local office,Te Mahau Rohe,Takiwa,EQI Band,EQI Group
16,2025,Year 1,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 1,Primary (Year 1-8),-1,Pacific,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 1,Primary (Year 1-8),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
4,2025,Year 1,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
2,2025,Year 2,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 3,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
5,2025,Year 3,Primary (Year 1-8),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 3,Primary (Year 1-8),-1,MELAA,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 3,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
6,2025,Year 4,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
7,2025,Year 4,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
11,2025,Year 5,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
2,2025,Year 5,Primary (Year 1-8),-1,Pacific,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
2,2025,Year 5,Primary (Year 1-8),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 5,Primary (Year 1-8),-1,MELAA,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
13,2025,Year 5,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 6,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 6,Primary (Year 1-8),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 6,Primary (Year 1-8),-1,MELAA,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
18,2025,Year 6,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
13,2025,Year 7,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 7,Primary (Year 1-8),-1,Pacific,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 7,Primary (Year 1-8),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 7,Primary (Year 1-8),-1,MELAA,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
35,2025,Year 7,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
7,2025,Year 8,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
4,2025,Year 8,Primary (Year 1-8),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 8,Primary (Year 1-8),-1,Other,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
30,2025,Year 8,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
26,2025,Year 9,Secondary (Year 9+),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
5,2025,Year 9,Secondary (Year 9+),-1,Pacific,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
5,2025,Year 9,Secondary (Year 9+),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 9,Secondary (Year 9+),-1,Other,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
24,2025,Year 9,Secondary (Year 9+),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
19,2025,Year 10,Secondary (Year 9+),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
2,2025,Year 10,Secondary (Year 9+),-1,MELAA,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
9,2025,Year 10,Secondary (Year 9+),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
17,2025,Year 11,Secondary (Year 9+),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
10,2025,Year 11,Secondary (Year 9+),-1,Pacific,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 11,Secondary (Year 9+),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
2,2025,Year 11,Secondary (Year 9+),-1,MELAA,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
2,2025,Year 11,Secondary (Year 9+),-1,Other,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
15,2025,Year 11,Secondary (Year 9+),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
9,2025,Year 12,Secondary (Year 9+),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
5,2025,Year 12,Secondary (Year 9+),-1,Pacific,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 12,Secondary (Year 9+),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 12,Secondary (Year 9+),-1,Other,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
11,2025,Year 12,Secondary (Year 9+),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
287,2025,Total,Total,-1,Total,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
8,2025,Year 1,Primary (Year 1-8),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
3,2025,Year 1,Primary (Year 1-8),1,European\Pākehā,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
7,2025,Year 2,Primary (Year 1-8),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 3,Primary (Year 1-8),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 3,Primary (Year 1-8),1,European\Pākehā,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
7,2025,Year 4,Primary (Year 1-8),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 4,Primary (Year 1-8),1,European\Pākehā,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
8,2025,Year 5,Primary (Year 1-8),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
11,2025,Year 6,Primary (Year 1-8),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 6,Primary (Year 1-8),1,Pacific,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 6,Primary (Year 1-8),1,Asian,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 6,Primary (Year 1-8),1,European\Pākehā,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
4,2025,Year 7,Primary (Year 1-8),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
6,2025,Year 8,Primary (Year 1-8),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
7,2025,Year 9,Secondary (Year 9+),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 9,Secondary (Year 9+),1,Pacific,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 9,Secondary (Year 9+),1,European\Pākehā,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
4,2025,Year 10,Secondary (Year 9+),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 11,Secondary (Year 9+),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
4,2025,Year 12,Secondary (Year 9+),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 13,Secondary (Year 9+),1,Māori,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
74,2025,Total,Total,1,Total,,Te Kura o Te Kao,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
7,2025,Year 1,Primary (Year 1-8),2,Māori,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
3,2025,Year 1,Primary (Year 1-8),2,Pacific,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
3,2025,Year 1,Primary (Year 1-8),2,European\Pākehā,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
11,2025,Year 2,Primary (Year 1-8),2,Māori,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 2,Primary (Year 1-8),2,Pacific,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 2,Primary (Year 1-8),2,European\Pākehā,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
13,2025,Year 3,Primary (Year 1-8),2,Māori,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 3,Primary (Year 1-8),2,European\Pākehā,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
13,2025,Year 4,Primary (Year 1-8),2,Māori,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 4,Primary (Year 1-8),2,Pacific,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 4,Primary (Year 1-8),2,European\Pākehā,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
25,2025,Year 5,Primary (Year 1-8),2,Māori,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 5,Primary (Year 1-8),2,Pacific,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 5,Primary (Year 1-8),2,European\Pākehā,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
17,2025,Year 6,Primary (Year 1-8),2,Māori,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
3,2025,Year 6,Primary (Year 1-8),2,Pacific,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
3,2025,Year 6,Primary (Year 1-8),2,European\Pākehā,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
36,2025,Year 7,Primary (Year 1-8),2,Māori,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 7,Primary (Year 1-8),2,Pacific,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 7,Primary (Year 1-8),2,Asian,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
1,2025,Year 7,Primary (Year 1-8),2,Other,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
12,2025,Year 7,Primary (Year 1-8),2,European\Pākehā,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
29,2025,Year 8,Primary (Year 1-8),2,Māori,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
3,2025,Year 8,Primary (Year 1-8),2,Pacific,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
10,2025,Year 8,Primary (Year 1-8),2,European\Pākehā,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
41,2025,Year 9,Secondary (Year 9+),2,Māori,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
3,2025,Year 9,Secondary (Year 9+),2,Pacific,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 9,Secondary (Year 9+),2,Asian,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
2,2025,Year 9,Secondary (Year 9+),2,Other,,Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tai Tokerau,Northland Region,Far North District,Whangarei,200000,Te Tai Raro,Most,More
